rxcui,atc_prod
4109,C03CC
4171,N01BB
4179,L01CB
4230,XXXX
4337,N02AB
4419,XXXX
4462,D07AC
4492,L01BC
1925821,XXXX
4582,XXXX
4626,XXXX
4850,V06DC
4919,B05BA
5032,R05FA
2019,N04BA
2037,XXXX
2133,XXXX
2191,J01DD
2193,J01DD
2393,P01BA
2403,N05AA
2525,XXXX
2551,S01AE
2567,XXXX
214461,XXXX
2913,XXXX
3001,S01FA
3013,R06AX
3041,L01BC
3081,H03AA
1372540,XXXX
3154,J01AA
3251,H01BA
3304,N07BC
3361,A03AA
3455,G04BX
3554,N07BB
392458,XXXX
42319,A02BA
42372,D06AX
42386,XXXX
1322778,XXXX
42643,N02CA
46307,A01AD
52175,C09CA
56512,V03AE
1490027,C01CA
1426866,XXXX
40144,H03AA
43611,S01EE
55672,J04AB
261563,A03AE
261702,XXXX
2107310,A06AX
1245091,D11AC
2045628,N02CD
17804,D01AE
18469,J01MA
18989,D01AE
18994,P01CA
19596,XXXX
19711,J01CR
20178,XXXX
1366924,XXXX
21183,N02BA
22299,J01XX
1362686,XXXX
25138,S01JA
461016,N05CF
475342,L01EA
60212,P01AX
1721264,L01XL
1053143,S01XA
1147320,L01FX
1599538,B01AF
1430438,L01EB
317678,XXXX
104125,XXXX
113374,XXXX
68149,L04AA
69120,R03BB
69627,XXXX
1318479,XXXX
1483316,D08AX
5781,M01AB
5920,B03AE
6048,J05AX
6058,C01DA
6064,D10BA
6135,D01AC
6142,M01AE
1363435,XXXX
6373,G03AA
6585,A06AD
202585,N03AE
1293264,XXXX
202886,L02AB
202908,R03AC
202941,C02AC
202961,A06AB
203159,R03AC
203190,XXXX
203281,B03XA
203490,C08DA
202363,N05BA
202472,N05BA
78484,B01AB
8113,XXXX
8351,N06BX
8591,B05BA
8597,R05CA
8754,C01BC
8761,A03AB
8782,N01AX
8783,XXXX
8814,B01AC
1441688,B02BD
8886,N06AA
9061,P01AX
2268087,XXXX
1744460,XXXX
1482546,XXXX
9394,XXXX
9522,XXXX
9624,N05CB
90176,XXXX
1306065,XXXX
84375,L03AX
1441651,XXXX
1300486,B02BD
901199,V01AA
974779,L01FA
2387302,N07XX
195,XXXX
318,XXXX
1312358,XXXX
689,R03DA
732,D01AE
784,XXXX
1311524,XXXX
1595882,XXXX
1292,M03BX
1399,R02AD
1426,A01AD
1815,N01BB
1827,N05BE
1897,A12AX
1903,XXXX
352372,N06BA
356767,R03DX
1310526,L04AK
1546446,XXXX
6691,L02AB
6760,N05BC
6818,XXXX
6878,G04BX
1311537,XXXX
6923,V04CD
1307820,XXXX
1492936,XXXX
7222,XXXX
7268,S01AA
7597,D07CB
7617,H01CB
7676,A07DA
7806,V03AN
7812,R01AA
7934,A07AA
190376,J01XX
191831,L04AB
196319,V03AF
1546277,XXXX
306865,D11AH
227546,XXXX
1665509,G02CX
228783,N02CC
228790,G04CB
337623,R05CB
322167,G04BD
327148,R03AK
1798288,A05AA
342369,L04AX
114265,M05BA
118886,S01LA
214553,XXXX
214709,XXXX
214791,XXXX
215247,D02AX
218756,XXXX
218986,N02AA
219397,C10AC
220144,XXXX
220778,C08DA
221147,A06AD
220372,N05CM
686430,A07EC
692792,XXXX
1731015,N03AX
492635,L04AG
848161,L04AB
1291301,G04BE
853351,L04AC
892584,V01AA
72236,N03AB
1148138,B06AC
72965,L02BG
73494,C09CA
73645,J05AB
77655,M05BA
746839,XXXX
614391,L04AA
603159,N05CH
282388,L01EA
142442,M01AE
142445,R01BA
140587,M01AH
124323,XXXX
751628,A16AX
1667643,XXXX
9939,XXXX
9947,C07AA
9997,C03DA
10109,J01GA
10167,J01CR
2571856,XXXX
1311384,XXXX
10355,N05CD
10432,L04AX
1368871,XXXX
10565,XXXX
10635,A10BB
10652,XXXX
10773,XXXX
10958,XXXX
11065,A05AA
1668221,XXXX
2199220,XXXX
11118,N03AG
11124,J01XA
11198,L01CA
11202,L01CA
407990,H05BX
235481,XXXX
236439,XXXX
588003,M01AG
1596450,J01GB
1593734,H01BA
232158,M01AH
234416,V03AE
1999411,XXXX
31555,C07AB
32675,G04BD
33094,A03AX
33219,D02AX
34693,S01XA
35255,A03FA
35636,N05AX
35780,N01BB
746741,N04BC
36709,B05BA
37801,D01AE
37864,G03BA
37935,S01GA
38413,C03CA
38668,H02CA
1368374,XXXX
1318501,XXXX
40138,B01AC
284799,A02BC
1370469,XXXX
299081,P03AX
151672,A06AB
151944,A06AC
1092413,R06AA
152523,A02BA
1364429,XXXX
155152,XXXX
594111,N06BA
593411,A10BD
593441,N02BF
4083,G03FA
1314364,XXXX
4388,XXXX
4450,J02AC
4457,V03AB
4496,N05AB
4537,B03AE
4885,A16AA
4910,A06AX
4955,A03AB
2002,N03AF
2221,XXXX
2348,J01BA
2409,C09DA
2420,XXXX
2555,L01XA
2556,N06AB
2592,J04BA
2594,XXXX
2598,N03AE
3022,S01XA
3327,V03AH
3616,C01CA
1546415,XXXX
1539753,D01AC
42355,N06AB
42527,XXXX
42568,N06AX
42612,R01AC
42682,M05BA
52769,C01CE
56466,G04BC
1539902,G03BA
44281,N07AX
46041,M05BA
49334,XXXX
1649574,XXXX
261624,A02BC
261657,J05AH
274786,J01FA
278739,H01AX
1370783,XXXX
2058846,N02CD
16728,G04BX
17300,G04CA
18602,D10AX
19478,A07BB
20481,J01DE
21107,B01AC
21212,J01FA
24902,V03AB
25255,R03AK
25544,V09HX
15226,V03AB
1358955,XXXX
1358966,XXXX
1737729,XXXX
59943,D06BB
60223,D10AD
81992,XXXX
82041,R06AE
82122,J01MA
83171,J05AB
316989,XXXX
316992,XXXX
1151133,XXXX
2053490,N07XX
108118,D07XC
1366027,XXXX
1314279,XXXX
70727,XXXX
68446,L01BA
69722,J05AH
5333,M02AX
5499,A01AB
5775,XXXX
1311224,XXXX
6084,XXXX
6185,C07AG
6205,A07FA
6468,A07DA
202724,M01CC
202795,D10BA
202816,L04AD
202877,D07AB
202959,N07AX
203333,C10AA
203354,N02AA
203365,M01AB
203457,R06AA
203546,N05AB
204300,J06BB
659476,XXXX
202399,M01AE
1012892,L04AE
735381,L03AX
402499,XXXX
405336,H01BA
8091,D02AC
8134,A03CB
8214,D05AA
8217,XXXX
8570,S01XA
8700,C01BA
8727,G03DA
8826,XXXX
1310913,XXXX
8948,V04CF
8991,D11AC
9346,B03AE
9504,A16AA
9524,A07EC
9525,D02AF
2606543,XXXX
9789,D08AL
1311386,XXXX
1007559,XXXX
1043560,XXXX
861612,C10AA
1011049,XXXX
1011017,XXXX
91235,XXXX
828529,B05AA
87636,R06AX
66869,A06AB
66981,XXXX
