rxcui,atc_prod
24898,XXXX
1594675,V03AE
1363047,XXXX
12574,L01BC
753340,A16AX
15657,L01BC
1358965,XXXX
125929,XXXX
474128,J05AF
60207,S01EC
82084,C07AA
80773,L01DB
1537034,B01AC
316982,XXXX
317825,XXXX
411,XXXX
5521,P01BA
5640,N02AJ
5657,L01AA
5933,D08AG
5975,XXXX
6211,XXXX
6218,A06AD
6400,A11JC
2045613,N02CD
202634,B03BB
203001,N07AA
203191,C07BB
203197,J01RA
203358,N02AA
203658,H01BA
203808,N07BA
993449,M05BX
636556,N07BB
735866,L01EA
1876366,L04AG
404872,L04AX
1363919,XXXX
1858554,XXXX
8156,B05BA
8163,R05FA
8183,N03AB
8410,B01AD
8610,S01XA
8611,D09AA
8628,P02BA
8687,P01BA
1426890,XXXX
1362877,XXXX
8794,H03BA
9010,P01BD
9601,A03CB
1311214,XXXX
9863,R01AX
9873,A01AA
90249,XXXX
1546394,XXXX
91058,XXXX
85248,A03AE
591781,L04AJ
67108,B01AB
1316105,L01XL
898496,M09AB
1311137,XXXX
873,D05AC
1043,N04BC
1889,H05BX
1895,XXXX
353099,C10AX
979293,M02AX
996180,G04BE
1592737,L01EX
356761,V03AE
1863556,M09AX
1871435,N02AA
1291307,G04BE
1302971,L01XG
57308,L01CE
1307298,L02BB
1372703,XXXX
1487534,XXXX
6628,B05BC
6769,XXXX
6964,G03XB
7094,XXXX
7258,M01AE
7288,XXXX
7712,XXXX
7813,A14AA
7909,XXXX
7973,C07AA
7992,XXXX
1455099,N06AX
175184,N02BE
190521,J05AR
1546380,XXXX
1720597,R03DX
795807,A09AA
320864,C10AA
321988,N06AB
1940635,XXXX
215407,H03AA
216221,C07AG
216891,L04AB
218402,N04BC
1233762,A07BB
219462,G04CB
219602,N07AA
846950,D10AD
220145,A16AX
220991,L01AD
221047,XXXX
687078,N02BE
692988,XXXX
711043,N06BA
1856271,XXXX
346288,XXXX
2110605,B01AX
126291,XXXX
1544460,L01EM
77492,G04CA
847083,L04AC
613391,B01AC
596723,C10AA
139462,J01MA
1659157,C10AX
1670383,B02BD
1716523,XXXX
2047232,L04AF
1311275,XXXX
10159,XXXX
10223,D10AF
10759,D07AB
10767,N05CD
10811,N04AA
1667702,XXXX
11170,C08DA
11274,B02BD
1423459,D08AG
1432023,A11JA
196459,N01AX
196476,G04CB
196495,A07EC
1094833,L01FX
819300,L04AB
236665,XXXX
237125,V03AE
1655922,XXXX
1599793,L04AC
797752,J07BC
1596928,XXXX
1305579,XXXX
1111103,A07AA
1038905,A01AA
30125,N06BA
30145,D07XC
31819,P01AX
1309250,XXXX
32638,D01AC
32937,N06AB
33199,P03AC
968170,C05BB
35302,L04AH
35623,N07XX
35829,C01EB
37859,G03BA
38298,G01AF
39541,L01CA
660890,V03AE
658708,B06AC
284704,N06BA
284924,XXXX
287578,J07BK
299635,XXXX
1091836,R03DX
151317,C03DA
153266,B02BD
153974,XXXX
1316581,XXXX
596205,N05CH
3820,XXXX
4023,XXXX
4100,XXXX
1356715,XXXX
4177,N01AX
4278,A02BA
1311506,XXXX
4256,B02BD
619693,J05AH
1492727,L04AA
2383337,XXXX
2116,S01ED
1440974,XXXX
2129,A06AB
2186,J01DD
2323,XXXX
2358,D08AC
2447,C10AC
2582,J01FF
2590,D07AD
2597,N06AA
2635,D05AA
1310300,XXXX
2653,N01BC
2672,R05DA
3024,B05BA
3036,XXXX
3098,L01AX
3289,R05FA
3347,XXXX
3356,J01CF
3626,A03FA
3638,N06AA
3690,XXXX
397392,G04BD
1370971,G03XC
1723735,L01XG
40169,C01BG
41289,C01BD
41397,A09AA
42368,C01BC
1368364,XXXX
42463,C10AA
42676,N02CA
54214,XXXX
831418,XXXX
40790,A02BC
833136,N06AX
261530,L04AD
1044552,A01AA
274535,R03BB
1363610,XXXX
1358901,XXXX
1242799,R01AD
16818,D05BB
17767,C09DX
19831,A07EA
1373478,L04AX
1310572,XXXX
24947,B03AA
1426906,XXXX
14845,S01EA
15996,N06AX
24246,XXXX
1788846,XXXX
1087965,G03DA
82728,N06AB
82828,L03AB
83156,A02BC
892547,V01AA
1367125,XXXX
482574,N06AX
68442,L03AA
69749,C09CA
6099,A07AA
1314891,XXXX
6260,XXXX
6371,P02CE
6384,V04CM
1491871,XXXX
6472,C10AA
6582,A11JB
259453,N01BB
